Date,Total Value of Portfolio,Cash on Hand,Shares Owned,Amount in Shares,Unrealised Profit,Realised Profit,Total Growth Rate,Benchmark Growth Rate
2019-12-19,13397.34,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9345.71,860.53,2536.81,33.97,41.39
2019-12-20,13440.22,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9388.59,903.41,2536.81,34.4,42.11
2019-12-23,13422.13,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9370.5,885.32,2536.81,34.22,42.24
2019-12-24,13401.73,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9350.1,864.91,2536.81,34.02,42.24
2019-12-26,13540.36,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9488.73,1003.55,2536.81,35.4,42.97
2019-12-27,13519.41,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9467.78,982.6,2536.81,35.19,42.97
2019-12-30,13391.14,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9339.51,854.32,2536.81,33.91,42.19
2019-12-31,13403.24,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9351.61,866.43,2536.81,34.03,42.55
2020-01-02,13605.63,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9554.0,1068.82,2536.81,36.06,43.82
2020-01-03,13513.34,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9461.71,976.53,2536.81,35.13,42.77
2020-01-06,13682.07,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9630.44,1145.25,2536.81,36.82,43.3
2020-01-07,13637.51,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9585.88,1100.7,2536.81,36.38,42.91
2020-01-08,13739.75,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9688.13,1202.94,2536.81,37.4,43.64
2020-01-09,13800.31,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9748.68,1263.5,2536.81,38.0,44.64
2020-01-10,13739.21,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9687.58,1202.4,2536.81,37.39,44.22
2020-01-13,13882.84,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9831.21,1346.03,2536.81,38.83,45.18
2020-01-14,13805.83,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9754.2,1269.02,2536.81,38.06,44.98
2020-01-15,13844.65,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9793.02,1307.84,2536.81,38.45,45.31
2020-01-16,13916.19,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9864.56,1379.37,2536.81,39.16,46.52
2020-01-17,13955.12,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9903.5,1418.31,2536.81,39.55,47.02
2020-01-21,13960.52,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9908.89,1423.7,2536.81,39.61,46.71
2020-01-22,13873.03,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9821.4,1336.21,2536.81,38.73,46.75
2020-01-23,14010.7,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9959.08,1473.89,2536.81,40.11,46.9
2020-01-24,13949.28,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9897.65,1412.47,2536.81,39.49,45.56
2020-01-27,13751.18,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9699.55,1214.36,2536.81,37.51,43.24
2020-01-28,13901.66,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9850.03,1364.85,2536.81,39.02,44.79
2020-01-29,13970.36,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9918.73,1433.55,2536.81,39.7,44.65
2020-01-30,13936.31,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9884.68,1399.5,2536.81,39.36,45.1
2020-01-31,13925.68,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",9874.05,1388.87,2536.81,39.26,42.5
2020-02-03,14128.36,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",10076.73,1591.55,2536.81,41.28,43.54
2020-02-04,14338.1,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",10286.47,1801.29,2536.81,43.38,45.75
2020-02-05,14332.67,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",10281.04,1795.86,2536.81,43.33,47.4
2020-02-06,14415.37,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",10363.74,1878.56,2536.81,44.15,47.9
2020-02-07,14464.86,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",10413.23,1928.05,2536.81,44.65,47.15
2020-02-10,14648.34,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",10596.71,2111.53,2536.81,46.48,48.2
2020-02-11,14565.02,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",10513.39,2028.21,2536.81,45.65,48.47
2020-02-12,14660.13,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",10608.5,2123.31,2536.81,46.6,49.43
2020-02-13,14663.13,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",10611.5,2126.32,2536.81,46.63,49.28
2020-02-14,14680.44,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",10628.81,2143.63,2536.81,46.8,49.53
2020-02-18,14808.31,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",10756.68,2271.5,2536.81,48.08,49.12
2020-02-19,14823.36,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",10771.73,2286.54,2536.81,48.23,49.84
2020-02-20,14728.65,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",10677.02,2191.83,2536.81,47.29,49.25
2020-02-21,14477.95,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",10426.32,1941.14,2536.81,44.78,47.71
2020-02-24,14058.58,4051.63,"['GOOGL', 'MSFT', 'FB', 'NFLX', 'AMZN']",10006.95,1521.77,2536.81,40.59,42.77
2020-02-25,13858.41,6019.33,"['GOOGL', 'MSFT', 'NFLX', 'AMZN']",7839.08,1236.4,2622.01,38.58,38.48
2020-02-26,14013.3,6019.33,"['GOOGL', 'MSFT', 'NFLX', 'AMZN']",7993.97,1391.28,2622.01,40.13,37.86
2020-02-27,13631.84,6019.33,"['GOOGL', 'MSFT', 'NFLX', 'AMZN']",7612.51,1009.82,2622.01,36.32,31.75
2020-02-28,13692.36,6019.33,"['GOOGL', 'MSFT', 'NFLX', 'AMZN']",7673.03,1070.35,2622.01,36.92,30.96
2020-03-02,14030.52,6019.33,"['GOOGL', 'MSFT', 'NFLX', 'AMZN']",8011.19,1408.51,2622.01,40.31,36.8
2020-03-03,13749.01,6019.33,"['GOOGL', 'MSFT', 'NFLX', 'AMZN']",7729.68,1127.0,2622.01,37.49,33.03
2020-03-04,14033.21,6019.33,"['GOOGL', 'MSFT', 'NFLX', 'AMZN']",8013.88,1411.2,2622.01,40.33,38.54
2020-03-05,13789.44,6019.33,"['GOOGL', 'MSFT', 'NFLX', 'AMZN']",7770.11,1167.43,2622.01,37.89,33.9
2020-03-06,13659.76,6019.33,"['GOOGL', 'MSFT', 'NFLX', 'AMZN']",7640.43,1037.75,2622.01,36.6,31.66
2020-03-09,13193.33,7235.12,"['MSFT', 'NFLX', 'AMZN']",5958.21,502.77,2690.56,31.93,21.5
2020-03-10,13532.53,7235.12,"['MSFT', 'NFLX', 'AMZN']",6297.41,841.97,2690.56,35.33,27.7
2020-03-11,13275.7,7235.12,"['MSFT', 'NFLX', 'AMZN']",6040.58,585.14,2690.56,32.76,21.37
2020-03-12,12722.36,7235.12,"['MSFT', 'NFLX', 'AMZN']",5487.24,31.79,2690.56,27.22,9.63
2020-03-13,13229.86,9427.09,"['NFLX', 'AMZN']",3802.77,282.31,2947.55,32.3,19.88
2020-03-16,12909.28,11116.24,['NFLX'],1793.04,64.86,2844.42,29.09,5.8
2020-03-17,13034.74,11116.24,['NFLX'],1918.5,190.32,2844.42,30.35,12.73
2020-03-18,13009.06,11116.24,['NFLX'],1892.82,164.64,2844.42,30.09,6.57
2020-03-19,13108.42,13108.42,[],0.0,0.0,3108.42,31.08,6.66
2020-03-20,13108.42,13108.42,[],0.0,0.0,3108.42,31.08,2.01
2020-03-23,13108.42,13108.42,[],0.0,0.0,3108.42,31.08,-1.12
2020-03-24,13108.42,13108.42,[],0.0,0.0,3108.42,31.08,8.31
2020-03-25,13108.42,13108.42,[],0.0,0.0,3108.42,31.08,9.7
2020-03-26,13108.42,13108.42,[],0.0,0.0,3108.42,31.08,16.29
2020-03-27,13108.42,13108.42,[],0.0,0.0,3108.42,31.08,12.72
2020-03-30,13108.42,13108.42,[],0.0,0.0,3108.42,31.08,16.37
2020-03-31,13108.42,13108.42,[],0.0,0.0,3108.42,31.08,14.64
2020-04-01,13108.42,13108.42,[],0.0,0.0,3108.42,31.08,9.47
2020-04-02,13108.42,13108.42,[],0.0,0.0,3108.42,31.08,12.03
2020-04-03,13108.42,13108.42,[],0.0,0.0,3108.42,31.08,10.38
2020-04-06,13108.42,13108.42,[],0.0,0.0,3108.42,31.08,17.89
2020-04-07,13108.42,13108.42,[],0.0,0.0,3108.42,31.08,17.95
2020-04-08,13108.42,13108.42,[],0.0,0.0,3108.42,31.08,21.95
2020-04-09,13108.42,13108.42,[],0.0,0.0,3108.42,31.08,23.76
2020-04-13,13108.42,13108.42,[],0.0,0.0,3108.42,31.08,22.56
2020-04-14,13108.42,13108.42,[],0.0,0.0,3108.42,31.08,26.31
2020-04-15,13108.42,13108.42,[],0.0,0.0,3108.42,31.08,23.56
2020-04-16,13108.42,13108.42,[],0.0,0.0,3108.42,31.08,24.18
2020-04-17,13108.42,13108.42,[],0.0,0.0,3108.42,31.08,27.61
2020-04-20,13108.42,13108.42,[],0.0,0.0,3108.42,31.08,25.31
2020-04-21,13108.42,13108.42,[],0.0,0.0,3108.42,31.08,21.48
2020-04-22,13108.42,11226.87,['MSFT'],1881.55,0.0,3108.42,31.08,24.15
2020-04-23,13085.64,11226.87,['MSFT'],1858.78,-22.77,3108.42,30.86,24.13
2020-04-24,13119.58,11226.87,['MSFT'],1892.72,11.17,3108.42,31.2,25.93
2020-04-27,13114.16,11226.87,['MSFT'],1887.3,5.75,3108.42,31.14,27.75
2020-04-28,13068.19,11226.87,['MSFT'],1841.32,-40.23,3108.42,30.68,27.16
2020-04-29,13150.81,9284.97,"['MSFT', 'FB']",3865.85,42.4,3108.42,31.51,30.43
2020-04-30,13275.32,7938.27,"['MSFT', 'FB', 'GOOGL']",5337.05,166.9,3108.42,32.75,29.3
2020-05-01,13171.22,7938.27,"['MSFT', 'FB', 'GOOGL']",5232.95,62.81,3108.42,31.71,25.77
2020-05-04,13253.0,7938.27,"['MSFT', 'FB', 'GOOGL']",5314.74,144.59,3108.42,32.53,26.17
2020-05-05,13318.04,7938.27,"['MSFT', 'FB', 'GOOGL']",5379.78,209.63,3108.42,33.18,27.33
2020-05-06,13347.75,7938.27,"['MSFT', 'FB', 'GOOGL']",5409.49,239.34,3108.42,33.48,26.47
2020-05-07,13411.0,7938.27,"['MSFT', 'FB', 'GOOGL']",5472.73,302.58,3108.42,34.11,27.97
2020-05-08,13448.67,7938.27,"['MSFT', 'FB', 'GOOGL']",5510.4,340.25,3108.42,34.49,30.11
2020-05-11,13498.56,7938.27,"['MSFT', 'FB', 'GOOGL']",5560.29,390.14,3108.42,34.99,30.13
2020-05-12,13393.48,7938.27,"['MSFT', 'FB', 'GOOGL']",5455.21,285.06,3108.42,33.93,27.51
2020-05-13,13286.7,7938.27,"['MSFT', 'FB', 'GOOGL']",5348.43,178.28,3108.42,32.87,25.25
2020-05-14,13320.79,7938.27,"['MSFT', 'FB', 'GOOGL']",5382.52,212.37,3108.42,33.21,26.76
2020-05-15,13406.21,7938.27,"['MSFT', 'FB', 'GOOGL']",5467.94,297.79,3108.42,34.06,27.33
2020-05-18,13460.4,7938.27,"['MSFT', 'FB', 'GOOGL']",5522.14,351.99,3108.42,34.6,31.22
2020-05-19,13472.64,7938.27,"['MSFT', 'FB', 'GOOGL']",5534.38,364.23,3108.42,34.73,29.98
2020-05-20,13665.85,7938.27,"['MSFT', 'FB', 'GOOGL']",5727.58,557.43,3108.42,36.66,32.1
2020-05-21,13653.39,7938.27,"['MSFT', 'FB', 'GOOGL']",5715.12,544.97,3108.42,36.53,31.16
2020-05-22,13695.95,7938.27,"['MSFT', 'FB', 'GOOGL']",5757.68,587.53,3108.42,36.96,31.45
2020-05-26,13655.88,7938.27,"['MSFT', 'FB', 'GOOGL']",5717.62,547.47,3108.42,36.56,33.14
2020-05-27,13626.8,7938.27,"['MSFT', 'FB', 'GOOGL']",5688.54,518.39,3108.42,36.27,35.08
2020-05-28,13583.51,7938.27,"['MSFT', 'FB', 'GOOGL']",5645.24,475.09,3108.42,35.84,34.82
2020-05-29,13615.2,7938.27,"['MSFT', 'FB', 'GOOGL']",5676.93,506.78,3108.42,36.15,35.42
2020-06-01,13680.18,7938.27,"['MSFT', 'FB', 'GOOGL']",5741.92,571.77,3108.42,36.8,36.01
2020-06-02,13718.34,7938.27,"['MSFT', 'FB', 'GOOGL']",5780.07,609.92,3108.42,37.18,37.13
2020-06-03,13694.57,7938.27,"['MSFT', 'FB', 'GOOGL']",5756.31,586.16,3108.42,36.95,38.94
2020-06-04,13604.39,7938.27,"['MSFT', 'FB', 'GOOGL']",5666.13,495.98,3108.42,36.04,38.59
2020-06-05,13721.45,7938.27,"['MSFT', 'FB', 'GOOGL']",5783.18,613.03,3108.42,37.21,42.13
2020-06-08,13748.38,7938.27,"['MSFT', 'FB', 'GOOGL']",5810.12,639.97,3108.42,37.48,43.85
2020-06-09,13840.78,7938.27,"['MSFT', 'FB', 'GOOGL']",5902.51,732.36,3108.42,38.41,42.83
2020-06-10,13910.55,7938.27,"['MSFT', 'FB', 'GOOGL']",5972.28,802.13,3108.42,39.11,41.94
2020-06-11,13609.82,7938.27,"['MSFT', 'FB', 'GOOGL']",5671.55,501.4,3108.42,36.1,33.76
2020-06-12,13678.32,7938.27,"['MSFT', 'FB', 'GOOGL']",5740.05,569.91,3108.42,36.78,35.37
2020-06-15,13738.39,7938.27,"['MSFT', 'FB', 'GOOGL']",5800.12,629.97,3108.42,37.38,36.61
2020-06-16,13845.96,7938.27,"['MSFT', 'FB', 'GOOGL']",5907.7,737.55,3108.42,38.46,39.28
2020-06-17,13858.12,7938.27,"['MSFT', 'FB', 'GOOGL']",5919.85,749.7,3108.42,38.58,38.64
2020-06-18,13866.41,7938.27,"['MSFT', 'FB', 'GOOGL']",5928.15,758.0,3108.42,38.66,38.77
2020-06-19,13872.71,7938.27,"['MSFT', 'FB', 'GOOGL']",5934.44,764.3,3108.42,38.73,37.95
2020-06-22,13961.96,7938.27,"['MSFT', 'FB', 'GOOGL']",6023.7,853.55,3108.42,39.62,38.86
2020-06-23,14020.05,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",7946.83,911.64,3108.42,40.2,39.49
2020-06-24,13828.68,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",7755.45,720.26,3108.42,38.29,35.92
2020-06-25,13913.1,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",7839.88,804.69,3108.42,39.13,37.36
2020-06-26,13504.9,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",7431.68,396.49,3108.42,35.05,34.14
2020-06-29,13623.43,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",7550.21,515.02,3108.42,36.23,36.09
2020-06-30,13794.94,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",7721.71,686.53,3108.42,37.95,37.9
2020-07-01,14059.03,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",7985.8,950.61,3108.42,40.59,38.85
2020-07-02,14027.62,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",7954.4,919.21,3108.42,40.28,39.55
2020-07-06,14241.9,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8168.67,1133.48,3108.42,42.42,41.71
2020-07-07,14208.73,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8135.5,1100.31,3108.42,42.09,40.25
2020-07-08,14337.89,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8264.66,1229.47,3108.42,43.38,41.29
2020-07-09,14398.27,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8325.04,1289.86,3108.42,43.98,40.57
2020-07-10,14581.13,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8507.91,1472.72,3108.42,45.81,41.98
2020-07-13,14328.97,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8255.74,1220.55,3108.42,43.29,40.69
2020-07-14,14356.34,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8283.11,1247.92,3108.42,43.56,42.58
2020-07-15,14348.01,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8274.78,1239.59,3108.42,43.48,43.84
2020-07-16,14324.27,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8251.04,1215.85,3108.42,43.24,43.42
2020-07-17,14188.29,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8115.06,1079.88,3108.42,41.88,43.8
2020-07-20,14401.68,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8328.45,1293.26,3108.42,44.02,45.0
2020-07-21,14276.83,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8203.6,1168.41,3108.42,42.77,45.3
2020-07-22,14298.46,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8225.23,1190.04,3108.42,42.98,46.13
2020-07-23,14028.55,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",7955.33,920.14,3108.42,40.29,44.38
2020-07-24,13999.11,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",7925.89,890.7,3108.42,39.99,43.45
2020-07-27,14136.76,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8063.53,1028.34,3108.42,41.37,44.49
2020-07-28,14028.72,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",7955.49,920.3,3108.42,40.29,43.6
2020-07-29,14086.34,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8013.12,977.93,3108.42,40.86,45.33
2020-07-30,14116.84,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8043.62,1008.43,3108.42,41.17,44.8
2020-07-31,14282.51,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8209.28,1174.1,3108.42,42.83,46.02
2020-08-03,14424.55,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8351.32,1316.13,3108.42,44.25,46.94
2020-08-04,14402.53,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8329.3,1294.12,3108.42,44.03,47.55
2020-08-05,14367.3,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8294.07,1258.88,3108.42,43.67,48.47
2020-08-06,14619.71,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8546.49,1511.3,3108.42,46.2,49.47
2020-08-07,14545.25,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8472.03,1436.84,3108.42,45.45,49.55
2020-08-10,14397.91,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8324.68,1289.49,3108.42,43.98,50.03
2020-08-11,14194.18,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8120.95,1085.76,3108.42,41.94,48.81
2020-08-12,14355.81,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8282.58,1247.4,3108.42,43.56,50.85
2020-08-13,14397.43,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8324.21,1289.02,3108.42,43.97,50.59
2020-08-14,14392.39,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8319.16,1283.97,3108.42,43.92,50.59
2020-08-17,14416.88,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8343.66,1308.47,3108.42,44.17,51.08
2020-08-18,14519.46,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8446.23,1411.04,3108.42,45.19,51.4
2020-08-19,14467.51,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8394.29,1359.1,3108.42,44.68,50.75
2020-08-20,14670.02,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8596.8,1561.61,3108.42,46.7,51.23
2020-08-21,14609.98,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8536.75,1501.56,3108.42,46.1,51.77
2020-08-24,14656.66,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8583.43,1548.25,3108.42,46.57,53.31
2020-08-25,14809.04,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8735.82,1700.63,3108.42,48.09,53.85
2020-08-26,15357.03,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",9283.81,2248.62,3108.42,53.57,55.42
2020-08-27,15208.67,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",9135.44,2100.25,3108.42,52.09,55.73
2020-08-28,15239.85,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",9166.63,2131.44,3108.42,52.4,56.74
2020-08-31,15211.19,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",9137.97,2102.78,3108.42,52.11,56.19
2020-09-01,15386.07,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",9312.84,2277.65,3108.42,53.86,57.65
2020-09-02,15551.88,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",9478.65,2443.46,3108.42,55.52,59.95
2020-09-03,15085.43,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",9012.2,1977.01,3108.42,50.85,54.41
2020-09-04,14881.19,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8807.96,1772.77,3108.42,48.81,53.18
2020-09-08,14545.43,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8472.2,1437.01,3108.42,45.45,48.97
2020-09-09,14661.4,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8588.18,1552.99,3108.42,46.61,51.91
2020-09-10,14441.32,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8368.09,1332.9,3108.42,44.41,49.25
2020-09-11,14407.06,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8333.83,1298.65,3108.42,44.07,49.36
2020-09-14,14387.49,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8314.27,1279.08,3108.42,43.87,51.3
2020-09-15,14592.13,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8518.91,1483.72,3108.42,45.92,52.08
2020-09-16,14390.93,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8317.7,1282.51,3108.42,43.91,51.47
2020-09-17,14200.91,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8127.69,1092.5,3108.42,42.01,50.15
2020-09-18,14113.64,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8040.41,1005.22,3108.42,41.14,48.4
2020-09-21,14141.88,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8068.65,1033.46,3108.42,41.42,46.79
2020-09-22,14306.03,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8232.8,1197.62,3108.42,43.06,48.27
2020-09-23,14041.62,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",7968.39,933.2,3108.42,40.42,44.84
2020-09-24,14098.41,6073.23,"['MSFT', 'FB', 'GOOGL', 'NFLX']",8025.18,989.99,3108.42,40.98,45.24
2020-09-25,14257.17,7512.29,"['MSFT', 'FB', 'NFLX']",6744.88,1056.39,3200.78,42.57,47.56
2020-09-28,14325.91,9795.11,"['FB', 'NFLX']",4530.8,723.86,3602.05,43.26,50.03
2020-09-29,14386.93,9795.11,"['FB', 'NFLX']",4591.82,784.88,3602.05,43.87,49.18
2020-09-30,14414.23,11795.23,['FB'],2619.0,677.1,3737.13,44.14,50.33
2020-10-01,14461.53,11795.23,['FB'],2666.3,724.4,3737.13,44.62,51.28
2020-10-02,14394.63,14394.63,[],0.0,0.0,4394.63,43.95,49.88
2020-10-05,14394.63,14394.63,[],0.0,0.0,4394.63,43.95,52.5
2020-10-06,14394.63,14394.63,[],0.0,0.0,4394.63,43.95,50.37
2020-10-07,14394.63,14394.63,[],0.0,0.0,4394.63,43.95,52.95
2020-10-08,14394.63,14394.63,[],0.0,0.0,4394.63,43.95,54.3
2020-10-09,14394.63,14394.63,[],0.0,0.0,4394.63,43.95,55.67
2020-10-12,14394.63,14394.63,[],0.0,0.0,4394.63,43.95,58.18
2020-10-13,14394.63,12732.36,['NFLX'],1662.27,0.0,4394.63,43.95,57.17
2020-10-14,14356.71,12732.36,['NFLX'],1624.35,-37.92,4394.63,43.57,56.19
2020-10-15,14358.18,12732.36,['NFLX'],1625.82,-36.45,4394.63,43.58,56.0
2020-10-16,14324.73,12732.36,['NFLX'],1592.37,-69.9,4394.63,43.25,55.87
2020-10-19,14324.52,12732.36,['NFLX'],1592.16,-70.11,4394.63,43.25,53.52
2020-10-20,14308.62,12732.36,['NFLX'],1576.26,-86.01,4394.63,43.09,54.12
2020-10-21,14199.51,10816.8,"['NFLX', 'MSFT']",3382.71,-195.12,4394.63,42.0,53.84
2020-10-22,14188.85,10816.8,"['NFLX', 'MSFT']",3372.06,-205.78,4394.63,41.89,54.69
2020-10-23,14209.95,10816.8,"['NFLX', 'MSFT']",3393.16,-184.68,4394.63,42.1,55.22
2020-10-26,14154.99,10816.8,"['NFLX', 'MSFT']",3338.19,-239.64,4394.63,41.55,52.36
2020-10-27,14185.33,10816.8,"['NFLX', 'MSFT']",3368.53,-209.3,4394.63,41.85,51.86
2020-10-28,14082.99,10816.8,"['NFLX', 'MSFT']",3266.2,-311.63,4394.63,40.83,46.63
2020-10-29,14155.1,9259.92,"['NFLX', 'MSFT', 'GOOGL']",4895.18,-239.53,4394.63,41.55,48.17
2020-10-30,14108.85,9259.92,"['NFLX', 'MSFT', 'GOOGL']",4848.94,-285.78,4394.63,41.09,46.5
2020-11-02,14140.95,9259.92,"['NFLX', 'MSFT', 'GOOGL']",4881.04,-253.68,4394.63,41.41,48.21
2020-11-03,14208.16,7402.82,"['NFLX', 'MSFT', 'GOOGL', 'FB']",6805.34,-186.47,4394.63,42.08,50.82
2020-11-04,14580.92,7402.82,"['NFLX', 'MSFT', 'GOOGL', 'FB']",7178.1,186.29,4394.63,45.81,54.22
2020-11-05,14760.63,7402.82,"['NFLX', 'MSFT', 'GOOGL', 'FB']",7357.82,366.0,4394.63,47.61,57.24
2020-11-06,14755.72,7402.82,"['NFLX', 'MSFT', 'GOOGL', 'FB']",7352.9,361.09,4394.63,47.56,57.22
2020-11-09,14474.7,7402.82,"['NFLX', 'MSFT', 'GOOGL', 'FB']",7071.89,80.08,4394.63,44.75,59.18
